chosen_server,lat_8001,lat_8002,lat_8003,lat_8004,lat_8005,load_8001,load_8002,load_8003,load_8004,load_8005
http://localhost:8005,0.012404045002767816,0.009931428998243064,0.009257377998437732,0.008217780999984825,0.007857972999772755,0,0,0,0,0
http://localhost:8005,0.004651580999052385,0.004477729002246633,0.004593960999045521,0.004525504999037366,0.004054861998156412,0,0,0,0,0
http://localhost:8005,0.005308674000843894,0.004802423998626182,0.004946686000039335,0.004765158999362029,0.004546439999103313,0,0,0,0,0
http://localhost:8005,0.005192268999962835,0.0046886579984857235,0.004416461000801064,0.004789483999047661,0.004251268997904845,0,0,0,0,0
http://localhost:8004,0.0052908409998053685,0.005435323000710923,0.005172091998247197,0.0048167690001719166,0.0049270000017713755,0,0,0,0,0
http://localhost:8004,0.005422435002401471,0.005305360002239468,0.004901256997982273,0.00451324899768224,0.0049137360001623165,0,0,0,0,0
http://localhost:8004,0.005616045000351733,0.005141175999597181,0.004915882997011067,0.003677016000438016,0.004976319996785605,0,0,0,0,0
http://localhost:8004,0.004805275002581766,0.0036978159987484105,0.0036920249985996634,0.0035228420019848272,0.0035678679996635765,0,0,0,0,0
http://localhost:8004,0.004420555000251625,0.003992049001681153,0.004074437001690967,0.0037690800018026493,0.004577818999678129,0,0,0,0,0
http://localhost:8004,0.005413554998085601,0.005080163002276095,0.00517715599926305,0.003954706000513397,0.00518182199812145,0,0,0,0,0
